145,257,124,33137,29149,18522,26544
144,257,123,32307,28070,18085,26026
144,257,123,32362,28177,18109,26026
146,257,124,32362,28248,18109,26026
146,257,123,32416,28212,18109,26026
146,257,123,32253,28248,18109,26026
148,257,123,32416,28248,18109,26026
149,257,123,32307,28212,18109,25986
151,256,122,32091,28212,18109,25986
152,256,122,32199,28212,18109,26026
152,256,122,32091,28177,18085,25947
153,257,123,32199,28248,18109,25986
154,256,122,33137,29186,18522,26544
156,255,122,32038,28177,18109,26026
155,256,123,33024,29149,18522,26504
154,257,123,32091,28212,18109,26026
154,256,123,32038,28355,18571,26544
155,256,123,32038,28248,18109,25986
156,256,122,32038,28283,18156,26026
156,257,122,32038,28248,18156,25986
145,257,124,33137,29149,18522,26544
156,257,122,32038,28248,18109,25986
145,257,124,33137,29149,18522,26544
145,257,124,33137,29149,18522,26544
148,257,123,32038,28248,18156,25947
147,257,123,32091,28248,18132,25947
147,256,123,32091,28248,18109,25947
147,256,123,32091,28248,18156,26026
147,255,123,33080,29149,18522,26544
147,255,123,32038,28212,18156,25908
