182,190,104,23468,26715,13775,21102
182,190,103,24020,27999,14158,21700
182,194,104,23570,27858,14122,21548
182,189,103,24055,27999,14193,21730
182,189,103,24126,28570,14193,21730
182,188,103,24090,27999,14193,21730
181,189,103,23639,26784,13775,21368
178,189,104,26343,28750,14480,22448
176,190,105,26666,29040,15075,22132
172,190,108,29663,31762,18229,27037
164,192,112,33250,32356,21339,31878
158,190,117,38529,35042,26026,35580
152,188,121,39180,34447,29099,36218
147,185,124,42715,36438,31614,38529
142,183,126,44726,35473,33250,38961
138,180,129,50550,37426,36610,42631
135,178,131,53829,38023,38888,45932
132,175,132,56937,38208,40847,47291
130,173,134,62368,39577,44187,51338
128,171,136,63991,38863,45369,52618
126,169,137,67830,37426,45183,51338
123,166,138,76387,39052,47291,54833
122,165,139,87058,39052,48201,58464
123,165,139,78000,39005,47391,63496
123,162,139,77071,37426,46122,63991
124,161,138,77071,37426,46122,65688
123,159,138,77071,37426,45932,65688
123,157,138,78235,37381,46122,66212
123,156,138,84017,38581,47093,68199
122,155,138,77765,37064,45369,66036
