174,196,91,20000,25379,14105,17777
174,196,91,20027,25412,14105,17871
173,196,91,20000,25281,14070,17731
173,195,91,20109,25412,14140,17754
174,196,91,20109,25412,14158,17731
174,198,91,20136,25281,13999,17707
174,201,90,19945,25183,13775,17477
173,203,90,19810,25151,13741,17591
173,202,90,19516,24891,13638,17477
174,200,91,19307,24570,13437,17638
173,196,92,19049,24538,13420,17707
173,191,92,18846,24891,13437,17966
172,187,92,18921,24795,13387,18013
171,182,93,18998,24859,13387,18061
170,176,93,18947,24795,13354,18132
169,169,93,19049,24795,13354,18205
168,163,93,19049,24859,13354,18277
168,157,93,19049,24891,13404,18301
167,170,87,20898,24859,13387,18253
166,164,86,20726,24891,13354,18423
165,158,86,20726,24891,13354,18399
164,152,85,20726,24891,13404,18423
164,147,84,20583,24891,13354,18448
164,141,84,20470,24891,13404,18497
164,136,84,20219,24891,13354,18497
164,132,83,20192,24891,13354,18497
163,128,83,20192,24891,13354,18497
162,125,84,20054,24891,13354,18497
162,123,83,20358,24891,13354,18497
161,120,83,20499,24891,13354,18522
